scenario,label,precision,recall,f1_score,support
s1_random_1_percent,0,0.8861082737487231,0.933799784714747,0.9093291404612159,5574.0
s1_random_1_percent,1,0.7460426703372333,0.6183685111237878,0.6762320648783531,1753.0
s1_random_1_percent,accuracy,,,0.8583321959874437,
s1_random_1_percent,macro avg,0.8160754720429781,0.7760841479192674,0.7927806026697846,7327.0
s1_random_1_percent,weighted avg,0.8525972866079642,0.8583321959874437,0.8535601799730547,7327.0
s2_random_5_percent,0,0.8860413463181275,0.9303911015428776,0.9076748052857267,5574.0
s2_random_5_percent,1,0.7367706919945726,0.6195094124358242,0.6730709637434149,1753.0
s2_random_5_percent,accuracy,,,0.8560120103725946,
s2_random_5_percent,macro avg,0.81140601915635,0.7749502569893509,0.7903728845145708,7327.0
s2_random_5_percent,weighted avg,0.8503280315877888,0.8560120103725946,0.8515453479056705,7327.0
s3_simulated_data_provider_withdrawal,0,0.8878616675226845,0.9303911015428776,0.908628996933859,5574.0
s3_simulated_data_provider_withdrawal,1,0.7388963660834454,0.6263548203080433,0.6779870330348873,1753.0
s3_simulated_data_provider_withdrawal,accuracy,,,0.8576497884536646,
s3_simulated_data_provider_withdrawal,macro avg,0.813379016803065,0.7783729609254605,0.7933080149843732,7327.0
s3_simulated_data_provider_withdrawal,weighted avg,0.8522214091054624,0.8576497884536646,0.853447427025998,7327.0
s4_random_10_percent,0,0.8881082933516107,0.9298528884104772,0.9085013146362839,5574.0
s4_random_10_percent,1,0.7377598926894702,0.6274957216200798,0.6781750924784217,1753.0
s4_random_10_percent,accuracy,,,0.8575133069469087,
s4_random_10_percent,macro avg,0.8129340930205404,0.7786743050152785,0.7933382035573529,7327.0
s4_random_10_percent,weighted avg,0.8521371255666056,0.8575133069469087,0.8533952865971502,7327.0
s5_retention_expiry,0,0.886744106593782,0.9312881234302117,0.908470423521176,5574.0
s5_retention_expiry,1,0.7399864222674813,0.6217912150598973,0.675759454432734,1753.0
s5_retention_expiry,accuracy,,,0.857240343933397,
s5_retention_expiry,macro avg,0.8133652644306317,0.7765396692450546,0.7921149389769551,7327.0
s5_retention_expiry,weighted avg,0.8516320251656389,0.857240343933397,0.8527938398154249,7327.0
