scenario,model,forget_count,accuracy,precision,recall,f1_score,roc_auc
s1_random_1_percent,baseline,342,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392
s1_random_1_percent,fully_retrained,342,0.847953216374269,0.6666666666666666,0.631578947368421,0.6486486486486487,0.9034922833399288
s1_random_1_percent,fine_tuned,342,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9084388603086664
s2_random_5_percent,baseline,1709,0.8654183733177296,0.7456647398843931,0.645,0.6916890080428955,0.9186487776928954
s2_random_5_percent,fully_retrained,1709,0.863662960795787,0.7406340057636888,0.6425,0.6880856760374833,0.9136506875477464
s2_random_5_percent,fine_tuned,1709,0.8619075482738443,0.742603550295858,0.6275,0.6802168021680217,0.9185933919022155
s3_simulated_data_provider_withdrawal,baseline,1698,0.8533568904593639,0.7237569060773481,0.6374695863746959,0.6778783958602846,0.9185132250825682
s3_simulated_data_provider_withdrawal,fully_retrained,1698,0.8515901060070671,0.729106628242075,0.6155717761557178,0.6675461741424802,0.9131971029781247
s3_simulated_data_provider_withdrawal,fine_tuned,1698,0.850412249705536,0.7174515235457064,0.6301703163017032,0.6709844559585493,0.9158816312100984
s4_random_10_percent,baseline,3419,0.8645802866335186,0.75,0.6329588014981273,0.6865267433987813,0.9191029833792558
s4_random_10_percent,fully_retrained,3419,0.8596080725358292,0.7406296851574213,0.616729088639201,0.6730245231607629,0.9124077618790112
s4_random_10_percent,fine_tuned,3419,0.8648727698157356,0.7541229385307346,0.6279650436953808,0.6852861035422343,0.9168679048057766
s5_retention_expiry,baseline,5585,0.8243509400179051,0.7258852258852259,0.6908773968622893,0.7079487942840131,0.8901571953087124
s5_retention_expiry,fully_retrained,5585,0.8051924798567591,0.7205574912891987,0.600813480534573,0.6552598225602028,0.8739234495809287
s5_retention_expiry,fine_tuned,5585,0.8171888988361683,0.7255154639175257,0.6542707728065078,0.6880537732966697,0.8875858954601723
