scenario,display_name,epoch,runtime_seconds,cumulative_optimizer_steps,epoch_sweep_seed,forget_entropy_mean,forget_entropy_mae_to_retraining,baseline_entropy_mae_to_retraining,relative_entropy_improvement,forget_entropy_wasserstein_to_retraining,entropy_records_moved_closer_percentage,forget_probability_mae_to_retraining,relative_probability_improvement,forget_loss_mae_to_retraining,relative_loss_improvement,forget_prediction_agreement_with_retraining,retain_accuracy,retain_f1,retain_auroc,validation_loss,test_accuracy,test_f1,test_auroc
s1_random_1_percent,Random 1%,0,0.0,0,742,0.42080562443019687,0.01791036028372088,0.01791036028372088,0.0,0.008702828305664306,0.0,0.01089129876345396,0.0,0.02585407007391586,0.0,0.9883040935672515,0.8599875912193105,0.6888582496224804,0.9187655217332185,0.3010408610695784,0.8560120103725946,0.6750846935632892,0.9096566939119795
s1_random_1_percent,Random 1%,1,1.207481999997981,529,742,0.3944271396567277,0.040632676853247215,0.01791036028372088,-1.2686688715122694,0.021194493270752186,15.497076023391813,0.023778589442372322,-1.1832648207357974,0.0469375073743452,-0.81547846200434,0.9736842105263158,0.8591012497414837,0.6618929457639136,0.919017763752696,0.3052834448443348,0.8566944179063737,0.6495327102803738,0.9097233181274563
s1_random_1_percent,Random 1%,2,2.372999917017296,1058,742,0.4075435820815988,0.021783064668050554,0.01791036028372088,-0.21622705087901894,0.009010244668086028,35.96491228070175,0.012972340919077396,-0.19107382882622104,0.028807733363830974,-0.11424364834901035,0.9912280701754386,0.8614057375838331,0.6837457021506101,0.919651233799103,0.3016541535826722,0.858059232973932,0.6713021491782554,0.9096905177264419
s1_random_1_percent,Random 1%,3,3.5378175009973347,1587,742,0.4289885364528425,0.025767963334019293,0.01791036028372088,-0.43871831307828923,0.016503044210747213,30.994152046783626,0.015030551701784134,-0.3800513628567004,0.03379770144804244,-0.30724877558605,0.9883040935672515,0.8622034449138771,0.6866433754367106,0.9201548191562159,0.3018093764867068,0.858878122014467,0.6746381371932033,0.9093314531181463
s1_random_1_percent,Random 1%,5,5.935167293064296,2645,742,0.4115007443438103,0.028478607386915027,0.01791036028372088,-0.5900633452248227,0.011061840450585596,26.31578947368421,0.017910217866301537,-0.6444519845878935,0.037947894243210725,-0.4677725454723012,0.9824561403508771,0.8634443229828345,0.6806687854083183,0.9209541619058497,0.3025742834122508,0.8590146035212228,0.6638464041653108,0.9096551587918073
s1_random_1_percent,Random 1%,8,9.488466501235962,4232,742,0.40403405039810636,0.028313497483510197,0.01791036028372088,-0.580844663925882,0.012301147137521111,29.82456140350877,0.016218779608607292,-0.4891501886836338,0.03544698057276891,-0.371040631955714,0.9824561403508771,0.8638874937217479,0.6849052732371247,0.922146334065875,0.30204700363308273,0.8576497884536646,0.6647380263580842,0.909299778471925
s1_random_1_percent,Random 1%,10,11.800403501256369,5290,742,0.41996296997711663,0.02953905691335332,0.01791036028372088,-0.6492720663024305,0.010715154909464968,27.192982456140353,0.017617516219615936,-0.617577168916895,0.038831664288577435,-0.501955559707199,0.9766081871345029,0.8637397701421101,0.6849296351960651,0.9226757607198005,0.30183293939789896,0.8571038624266412,0.6645305991669337,0.9090349702422071
s2_random_5_percent,Random 5%,0,0.0,0,743,0.44762381704415816,0.021005455047101773,0.021005455047101773,0.0,0.0067801164619423,0.0,0.013411344029009342,0.0,0.027194814919392286,0.0,0.9842012873025161,0.8595751231527093,0.6883498462589682,0.9186793364294774,0.3010408610695784,0.8560120103725946,0.6750846935632892,0.9096566939119795
s2_random_5_percent,Random 5%,1,1.2977852079784498,508,743,0.43905831182013694,0.026633658203326218,0.021005455047101773,-0.26794007288125843,0.014895969335557353,36.92217671152721,0.015204102732241154,-0.13367479794374026,0.029683828759928112,-0.0915253090676833,0.9847864248098304,0.8610221674876847,0.6870059631119123,0.9190385540975158,0.3014102710933756,0.8569673809198853,0.6737235367372354,0.9093596993293162
s2_random_5_percent,Random 5%,2,2.4339410829124972,1016,743,0.44257443867977714,0.021727615123744725,0.021005455047101773,-0.034379644479189286,0.011602958209458685,40.14043300175541,0.013273465447127819,0.01028074304732518,0.02569761384421657,0.055054652131795945,0.9847864248098304,0.8605603448275863,0.6986091701603779,0.9197552020739159,0.3012736093421085,0.8534188617442336,0.6794029850746268,0.9097829831314855
