scenario,model,original_index,y_true,probability_gt_50k,true_class_probability,binary_cross_entropy_loss,predicted_class,prediction_correct
s1_random_1_percent,retain_finetuning,353,1,0.11836752,0.11836752,2.1339607,0,0
s1_random_1_percent,retain_finetuning,489,0,0.07168175,0.92831826,0.074380636,0,1
s1_random_1_percent,retain_finetuning,946,0,0.118620336,0.88137966,0.12626672,0,1
s1_random_1_percent,retain_finetuning,1059,0,2.4890775e-05,0.9999751,2.4795532e-05,0,1
s1_random_1_percent,retain_finetuning,1109,0,0.114921175,0.88507885,0.12207866,0,1
s1_random_1_percent,retain_finetuning,1116,0,0.0005807345,0.9994193,0.00058078766,0,1
s1_random_1_percent,retain_finetuning,1523,0,0.0058125914,0.9941874,0.005829811,0,1
s1_random_1_percent,retain_finetuning,1714,0,0.1991067,0.8008933,0.22202754,0,1
s1_random_1_percent,retain_finetuning,1841,0,0.010330692,0.9896693,0.01038456,0,1
s1_random_1_percent,retain_finetuning,1860,0,0.00044837312,0.99955165,0.00044870377,0,1
s1_random_1_percent,retain_finetuning,2070,0,0.008581554,0.9914184,0.008618355,0,1
s1_random_1_percent,retain_finetuning,2167,1,0.80039346,0.80039346,0.2226518,1,1
s1_random_1_percent,retain_finetuning,2893,0,0.00014916086,0.9998508,0.0001487732,0,1
s1_random_1_percent,retain_finetuning,3127,0,0.005263463,0.99473655,0.005277157,0,1
s1_random_1_percent,retain_finetuning,3204,0,0.0070318338,0.99296814,0.007056713,0,1
s1_random_1_percent,retain_finetuning,3320,0,0.15606007,0.8439399,0.16967392,0,1
s1_random_1_percent,retain_finetuning,3729,1,0.078587346,0.078587346,2.5435445,0,0
s1_random_1_percent,retain_finetuning,3882,0,0.00087389164,0.99912614,0.0008740425,0,1
s1_random_1_percent,retain_finetuning,3894,0,0.080209285,0.91979074,0.083609104,0,1
s1_random_1_percent,retain_finetuning,4062,0,0.115975626,0.8840244,0.12327075,0,1
s1_random_1_percent,retain_finetuning,4148,0,0.051625676,0.94837433,0.053005934,0,1
s1_random_1_percent,retain_finetuning,4194,0,0.00017524973,0.99982476,0.00017547607,0,1
s1_random_1_percent,retain_finetuning,4305,0,0.08342216,0.9165778,0.08710837,0,1
s1_random_1_percent,retain_finetuning,4366,0,0.009919704,0.9900803,0.0099692345,0,1
s1_random_1_percent,retain_finetuning,4430,0,0.6078135,0.39218652,0.9360179,1,0
s1_random_1_percent,retain_finetuning,4452,0,0.1512852,0.8487148,0.1640321,0,1
s1_random_1_percent,retain_finetuning,4512,0,0.013252188,0.9867478,0.01334095,0,1
s1_random_1_percent,retain_finetuning,4591,1,0.5411731,0.5411731,0.61401606,1,1
s1_random_1_percent,retain_finetuning,4646,0,0.0053706164,0.9946294,0.005384922,0,1
s1_random_1_percent,retain_finetuning,4721,0,0.0023786905,0.9976213,0.0023813248,0,1
s1_random_1_percent,retain_finetuning,4751,0,0.0030109128,0.9969891,0.0030155182,0,1
s1_random_1_percent,retain_finetuning,5080,1,0.06337946,0.06337946,2.7586155,0,0
s1_random_1_percent,retain_finetuning,5202,0,0.00018589683,0.9998141,0.00018596649,0,1
s1_random_1_percent,retain_finetuning,5300,0,0.13817787,0.8618221,0.14870632,0,1
s1_random_1_percent,retain_finetuning,5339,0,0.0009977539,0.9990022,0.0009980202,0,1
s1_random_1_percent,retain_finetuning,5610,1,0.83918685,0.83918685,0.17532192,1,1
s1_random_1_percent,retain_finetuning,5795,0,1.9437373e-06,0.99999803,1.9073486e-06,0,1
s1_random_1_percent,retain_finetuning,5856,0,0.008441463,0.99155855,0.008477211,0,1
s1_random_1_percent,retain_finetuning,6229,1,0.7038816,0.7038816,0.35114503,1,1
s1_random_1_percent,retain_finetuning,6295,1,1.0,1.0,0.0,1,1
s1_random_1_percent,retain_finetuning,6304,1,0.21203391,0.21203391,1.5510089,0,0
s1_random_1_percent,retain_finetuning,6388,0,3.4260876e-05,0.9999657,3.4332275e-05,0,1
s1_random_1_percent,retain_finetuning,6868,1,0.20000838,0.20000838,1.6093961,0,0
s1_random_1_percent,retain_finetuning,6872,0,0.0009311722,0.99906886,0.0009317398,0,1
s1_random_1_percent,retain_finetuning,6918,1,0.63351834,0.63351834,0.45646626,1,1
s1_random_1_percent,retain_finetuning,6931,0,0.21359321,0.78640676,0.2402811,0,1
s1_random_1_percent,retain_finetuning,6987,0,0.000372058,0.99962795,0.00037193298,0,1
s1_random_1_percent,retain_finetuning,7118,0,0.00012952802,0.9998705,0.0001296997,0,1
s1_random_1_percent,retain_finetuning,7476,0,0.1108441,0.8891559,0.11748266,0,1
s1_random_1_percent,retain_finetuning,7499,0,0.75498843,0.24501157,1.40645,1,0
s1_random_1_percent,retain_finetuning,7576,0,0.6192738,0.38072622,0.96567476,1,0
s1_random_1_percent,retain_finetuning,7891,1,0.89004934,0.89004934,0.1164784,1,1
s1_random_1_percent,retain_finetuning,7933,1,0.7210472,0.7210472,0.32705063,1,1
s1_random_1_percent,retain_finetuning,7946,1,0.37315294,0.37315294,0.9857669,0,0
s1_random_1_percent,retain_finetuning,8088,0,0.017608479,0.98239154,0.017765522,0,1
s1_random_1_percent,retain_finetuning,8161,0,0.23706126,0.76293874,0.27057743,0,1
s1_random_1_percent,retain_finetuning,8193,0,0.00036961536,0.9996304,0.0003695488,0,1
s1_random_1_percent,retain_finetuning,8380,0,4.9509345e-05,0.99995047,4.9591064e-05,0,1
s1_random_1_percent,retain_finetuning,8602,0,0.31299874,0.6870012,0.37541914,0,1
s1_random_1_percent,retain_finetuning,8668,1,0.83556974,0.83556974,0.17964144,1,1
s1_random_1_percent,retain_finetuning,8803,0,0.0026356583,0.99736434,0.0026392937,0,1
s1_random_1_percent,retain_finetuning,8899,1,0.89419895,0.89419895,0.111827,1,1
s1_random_1_percent,retain_finetuning,9241,1,0.9170264,0.9170264,0.08661903,1,1
s1_random_1_percent,retain_finetuning,9254,0,0.030186137,0.9698139,0.030651093,0,1
s1_random_1_percent,retain_finetuning,9493,0,0.001817784,0.99818224,0.0018196106,0,1
s1_random_1_percent,retain_finetuning,9777,0,0.35013717,0.6498628,0.43099403,0,1
s1_random_1_percent,retain_finetuning,9828,0,0.0003745322,0.99962544,0.000374794,0,1
s1_random_1_percent,retain_finetuning,9923,0,0.04054814,0.95945185,0.04139304,0,1
s1_random_1_percent,retain_finetuning,9968,0,3.1377454e-05,0.99996865,3.1471252e-05,0,1
s1_random_1_percent,retain_finetuning,10483,0,0.011914601,0.9880854,0.011986256,0,1
s1_random_1_percent,retain_finetuning,11054,0,6.942736e-05,0.99993056,6.9618225e-05,0,1
s1_random_1_percent,retain_finetuning,11056,0,0.8014204,0.19857961,1.616565,1,0
s1_random_1_percent,retain_finetuning,11289,0,0.041205965,0.95879406,0.042078972,0,1
s1_random_1_percent,retain_finetuning,11405,0,0.43059742,0.5694026,0.5631676,0,1
s1_random_1_percent,retain_finetuning,11586,0,0.67107624,0.32892376,1.1119292,1,0
s1_random_1_percent,retain_finetuning,11641,0,0.0065087876,0.99349123,0.006529808,0,1
s1_random_1_percent,retain_finetuning,11648,0,0.032580003,0.96742,0.03312254,0,1
