original_index,shard_id,class_label
0,3,0
2,5,1
5,1,0
6,1,0
7,5,1
8,2,0
9,5,0
10,5,1
11,4,0
12,2,0
14,4,1
15,4,1
17,2,0
19,4,1
20,4,1
21,4,0
22,2,0
23,4,0
25,5,1
26,3,0
28,2,0
29,1,0
30,3,1
32,4,0
33,1,0
34,5,0
35,3,0
37,2,0
38,3,0
41,4,1
42,1,0
43,2,0
44,5,0
47,5,0
48,1,0
49,1,0
50,3,0
52,4,0
54,1,0
55,5,0
56,5,0
57,2,1
58,1,1
59,1,0
60,4,0
61,3,0
63,3,0
64,5,0
67,3,0
68,4,0
69,5,0
70,1,1
71,3,0
72,3,0
73,2,0
75,4,0
76,3,0
78,5,0
80,4,0
81,1,0
82,5,0
83,1,1
84,2,0
85,4,0
87,5,1
89,1,1
90,2,0
91,1,0
92,1,1
93,1,0
95,5,0
96,1,0
99,1,0
100,2,0
103,3,0
104,5,0
105,3,0
107,3,0
108,5,0
109,5,0
110,3,0
111,3,0
112,2,1
113,3,0
114,5,0
115,1,0
116,2,0
117,3,0
120,4,0
121,1,0
122,2,0
124,3,0
125,5,0
126,4,1
127,5,0
129,2,1
130,4,0
131,5,0
132,4,0
136,3,1
137,2,0
138,4,0
140,5,0
141,5,0
142,4,1
143,4,1
144,2,0
146,1,0
147,4,1
148,5,1
149,3,0
150,5,0
151,4,0
154,5,1
155,3,0
157,1,0
159,1,0
160,5,0
163,2,0
164,4,1
165,1,1
166,2,1
167,2,0
168,1,0
169,3,0
170,1,1
171,5,0
173,3,0
174,4,0
175,1,1
176,3,0
178,1,1
180,4,0
181,2,1
182,2,1
184,4,0
185,2,0
187,5,0
189,5,0
190,2,1
191,5,1
193,3,0
194,5,0
196,1,0
197,5,1
198,1,0
199,4,1
200,4,1
202,5,0
204,1,1
208,3,1
210,3,0
211,3,0
213,1,0
217,3,0
218,5,0
219,1,0
220,5,0
221,4,0
222,4,0
223,4,1
224,2,1
225,1,0
226,4,1
227,4,0
229,5,0
231,3,0
232,5,0
234,4,0
237,5,0
238,3,0
239,2,0
240,1,0
241,5,0
242,1,0
243,4,0
244,1,0
245,2,0
248,4,1
252,1,1
253,3,0
254,4,0
255,1,0
258,4,0
259,1,0
260,5,0
261,3,0
263,1,0
264,4,0
265,3,1
268,1,0
270,5,0
271,3,1
272,3,1
274,1,1
276,2,0
277,3,0
278,1,1
281,3,1
282,3,0
283,2,0
284,2,0
285,5,0
287,1,1
288,3,0
289,2,0
290,5,1
292,4,0
293,4,0
294,3,0
295,1,0
296,5,1
300,1,1
301,1,0
302,5,0
303,5,0
305,1,0
307,4,0
308,3,1
310,3,1
312,5,0
313,1,1
315,3,1
316,3,0
317,5,0
318,3,1
319,3,1
320,4,0
322,2,0
323,4,0
324,5,0
325,1,0
327,4,0
328,2,1
330,2,0
331,5,0
332,1,1
334,4,1
335,3,0
336,3,0
338,2,0
341,2,0
342,1,0
344,3,1
346,1,1
348,4,0
350,4,0
351,2,0
352,5,0
353,5,1
356,4,0
358,4,0
359,2,0
360,3,0
361,1,0
366,2,0
368,3,0
369,1,0
371,3,0
372,3,0
373,4,0
374,2,0
375,4,1
378,2,0
379,3,0
381,2,0
383,2,0
386,5,0
387,1,0
388,2,0
389,4,1
390,2,1
391,2,0
392,3,0
393,1,0
395,3,0
396,1,1
397,3,0
400,1,0
401,2,0
404,1,0
405,3,0
407,5,0
410,5,0
411,5,1
412,1,0
413,3,0
414,1,0
415,3,1
416,3,0
417,3,0
418,3,1
419,1,0
420,2,0
421,1,0
423,1,0
424,1,0
427,3,0
428,4,0
429,5,0
431,4,0
432,4,1
433,2,0
434,1,0
438,4,0
441,2,0
442,3,0
443,2,0
444,2,0
445,5,1
447,4,0
449,2,0
451,2,0
452,3,1
453,3,0
454,1,0
455,1,0
456,3,0
457,1,1
458,2,0
459,4,0
460,4,0
461,5,0
463,3,0
465,2,0
466,4,1
469,2,0
470,2,0
472,4,0
473,2,1
474,5,0
475,3,0
476,5,0
480,5,0
481,1,0
483,4,1
484,2,0
488,4,0
489,2,0
491,2,0
492,3,0
494,2,0
495,4,0
496,5,0
497,3,0
498,5,0
500,2,1
501,1,0
503,4,0
504,2,0
505,1,1
