original_index,shard_id,slice_id,within_shard_order,class_label
37452,1,1,0,0
39806,1,1,1,0
16799,1,1,2,0
11459,1,1,3,0
19731,1,1,4,0
2382,1,1,5,0
28337,1,1,6,0
44360,1,1,7,0
18309,1,1,8,0
47348,1,1,9,1
47008,1,1,10,0
10396,1,1,11,0
33252,1,1,12,1
27535,1,1,13,1
30307,1,1,14,0
19827,1,1,15,0
44584,1,1,16,0
16335,1,1,17,0
11336,1,1,18,0
16899,1,1,19,0
21282,1,1,20,0
13419,1,1,21,0
22549,1,1,22,0
36667,1,1,23,1
2886,1,1,24,0
47105,1,1,25,1
1194,1,1,26,0
8007,1,1,27,0
41125,1,1,28,0
23001,1,1,29,0
14296,1,1,30,0
13487,1,1,31,0
16607,1,1,32,0
46948,1,1,33,1
27222,1,1,34,0
40663,1,1,35,0
16870,1,1,36,0
35945,1,1,37,0
1588,1,1,38,0
4310,1,1,39,0
1879,1,1,40,0
8247,1,1,41,0
11169,1,1,42,0
2410,1,1,43,0
48028,1,1,44,1
28686,1,1,45,0
22888,1,1,46,0
18076,1,1,47,1
12808,1,1,48,1
7129,1,1,49,0
19435,1,1,50,1
1798,1,1,51,1
19154,1,1,52,0
6581,1,1,53,1
4064,1,1,54,1
21444,1,1,55,0
44665,1,1,56,0
2752,1,1,57,0
44276,1,1,58,0
7885,1,1,59,0
43786,1,1,60,0
501,1,1,61,0
48370,1,1,62,0
13038,1,1,63,0
20706,1,1,64,0
5010,1,1,65,0
32467,1,1,66,0
2001,1,1,67,0
28601,1,1,68,1
40551,1,1,69,1
20928,1,1,70,0
40053,1,1,71,0
47139,1,1,72,1
13111,1,1,73,0
11833,1,1,74,0
29917,1,1,75,0
47007,1,1,76,0
26711,1,1,77,0
5881,1,1,78,1
44382,1,1,79,0
5273,1,1,80,0
9711,1,1,81,0
15429,1,1,82,0
25359,1,1,83,0
13849,1,1,84,0
1323,1,1,85,1
15529,1,1,86,0
10183,1,1,87,1
16114,1,1,88,0
22225,1,1,89,1
44195,1,1,90,0
48052,1,1,91,0
42722,1,1,92,0
20343,1,1,93,0
18090,1,1,94,0
35315,1,1,95,0
13385,1,1,96,1
21227,1,1,97,0
34923,1,1,98,0
32610,1,1,99,0
198,1,1,100,0
7952,1,1,101,1
15027,1,1,102,0
8538,1,1,103,0
32975,1,1,104,1
1267,1,1,105,0
46581,1,1,106,0
16880,1,1,107,0
5232,1,1,108,0
7063,1,1,109,0
2835,1,1,110,0
14255,1,1,111,0
6626,1,1,112,1
27664,1,1,113,0
22083,1,1,114,0
24440,1,1,115,0
47513,1,1,116,1
35517,1,1,117,0
3108,1,1,118,0
45717,1,1,119,0
38254,1,1,120,0
33741,1,1,121,0
3460,1,1,122,0
26471,1,1,123,0
28928,1,1,124,0
21128,1,1,125,1
27390,1,1,126,0
36045,1,1,127,0
44117,1,1,128,0
31716,1,1,129,1
11627,1,1,130,0
35796,1,1,131,0
45311,1,1,132,1
2996,1,1,133,0
45945,1,1,134,1
18521,1,1,135,1
12889,1,1,136,0
4104,1,1,137,1
15524,1,1,138,1
36347,1,1,139,0
24932,1,1,140,0
39421,1,1,141,0
8800,1,1,142,1
4084,1,1,143,0
12278,1,1,144,0
16357,1,1,145,0
6032,1,1,146,0
14876,1,1,147,0
38660,1,1,148,0
12932,1,1,149,0
3977,1,1,150,0
3750,1,1,151,0
33728,1,1,152,0
32111,1,1,153,1
45591,1,1,154,0
47089,1,1,155,0
34211,1,1,156,0
18592,1,1,157,1
37168,1,1,158,0
6142,1,1,159,0
23787,1,1,160,0
40014,1,1,161,1
2432,1,1,162,0
26083,1,1,163,0
26421,1,1,164,1
35373,1,1,165,0
37470,1,1,166,1
39060,1,1,167,0
8452,1,1,168,1
8695,1,1,169,0
23125,1,1,170,1
2278,1,1,171,1
12323,1,1,172,0
20585,1,1,173,1
5492,1,1,174,0
2597,1,1,175,0
48093,1,1,176,0
47263,1,1,177,1
9846,1,1,178,0
22810,1,1,179,0
2560,1,1,180,0
23350,1,1,181,0
45677,1,1,182,0
12821,1,1,183,1
41742,1,1,184,0
35934,1,1,185,0
30115,1,1,186,0
19487,1,1,187,1
44864,1,1,188,0
5929,1,1,189,0
13518,1,1,190,0
18213,1,1,191,0
44777,1,1,192,0
44473,1,1,193,0
25354,1,1,194,0
5972,1,1,195,0
33638,1,1,196,0
31808,1,1,197,0
9566,1,1,198,1
14092,1,1,199,0
35102,1,1,200,0
31008,1,1,201,0
45553,1,1,202,0
23985,1,1,203,0
47598,1,1,204,0
39291,1,1,205,1
6544,1,1,206,1
39348,1,1,207,0
14359,1,1,208,0
48153,1,1,209,1
3161,1,1,210,0
14793,1,1,211,0
10245,1,1,212,0
14933,1,1,213,0
23135,1,1,214,0
1741,1,1,215,0
35638,1,1,216,0
36646,1,1,217,0
45218,1,1,218,1
37456,1,1,219,0
35578,1,1,220,0
33613,1,1,221,0
11333,1,1,222,0
45579,1,1,223,0
5898,1,1,224,0
14592,1,1,225,1
17703,1,1,226,0
41864,1,1,227,0
19469,1,1,228,0
28235,1,1,229,0
45731,1,1,230,0
44209,1,1,231,1
17941,1,1,232,0
21670,1,1,233,0
38202,1,1,234,0
1352,1,1,235,0
43419,1,1,236,0
16301,1,1,237,1
13365,1,1,238,0
34005,1,1,239,0
5504,1,1,240,0
47349,1,1,241,0
37935,1,1,242,0
15819,1,1,243,0
16736,1,1,244,1
19979,1,1,245,1
19699,1,1,246,1
29971,1,1,247,0
36728,1,1,248,0
19922,1,1,249,0
46052,1,1,250,1
24871,1,1,251,0
44879,1,1,252,0
30260,1,1,253,0
26777,1,1,254,1
47067,1,1,255,0
5390,1,1,256,0
33785,1,1,257,0
5068,1,1,258,1
9907,1,1,259,0
28742,1,1,260,1
24813,1,1,261,0
20961,1,1,262,1
9084,1,1,263,0
19989,1,1,264,0
7764,1,1,265,0
7992,1,1,266,1
18016,1,1,267,1
2981,1,1,268,0
42323,1,1,269,0
31782,1,1,270,0
27281,1,1,271,0
20265,1,1,272,0
48024,1,1,273,1
7457,1,1,274,0
20263,1,1,275,0
17699,1,1,276,1
21702,1,1,277,0
48,1,1,278,0
30720,1,1,279,0
30238,1,1,280,0
287,1,1,281,1
9390,1,1,282,0
9692,1,1,283,1
1355,1,1,284,0
22321,1,1,285,0
42286,1,1,286,0
20359,1,1,287,0
27479,1,1,288,0
18673,1,1,289,0
25181,1,1,290,0
29530,1,1,291,1
26785,1,1,292,0
39350,1,1,293,0
13304,1,1,294,1
1399,1,1,295,1
35101,1,1,296,0
17874,1,1,297,1
36162,1,1,298,0
20375,1,1,299,0
8202,1,1,300,0
905,1,1,301,0
31263,1,1,302,0
37373,1,1,303,0
46401,1,1,304,0
45860,1,1,305,0
6227,1,1,306,0
24585,1,1,307,0
47119,1,1,308,0
25787,1,1,309,1
14248,1,1,310,0
18769,1,1,311,0
9916,1,1,312,1
11183,1,1,313,0
30876,1,1,314,0
16928,1,1,315,0
1109,1,1,316,0
4524,1,1,317,1
15161,1,1,318,0
16364,1,1,319,0
8710,1,1,320,0
35268,1,1,321,1
32005,1,1,322,0
22187,1,1,323,0
39945,1,1,324,1
19476,1,1,325,0
36158,1,1,326,0
1448,1,1,327,1
16604,1,1,328,0
32131,1,1,329,0
37366,1,1,330,0
16322,1,1,331,0
41906,1,1,332,1
37249,1,1,333,0
26155,1,1,334,1
40580,1,1,335,1
17821,1,1,336,0
2185,1,1,337,0
25754,1,1,338,0
27836,1,1,339,1
46814,1,1,340,0
17436,1,1,341,0
28195,1,1,342,0
44728,1,1,343,1
31657,1,1,344,0
16560,1,1,345,1
14764,1,1,346,0
9809,1,1,347,0
19093,1,1,348,0
16294,1,1,349,0
15519,1,1,350,0
44753,1,1,351,0
26276,1,1,352,1
36057,1,1,353,0
16224,1,1,354,1
20863,1,1,355,0
7758,1,1,356,0
32455,1,1,357,1
10339,1,1,358,0
34009,1,1,359,1
14808,1,1,360,0
13818,1,1,361,0
36195,1,1,362,0
36320,1,1,363,1
39720,1,1,364,1
27172,1,1,365,1
41281,1,1,366,0
14413,1,1,367,1
34612,1,1,368,0
8762,1,1,369,0
22822,1,1,370,0
40057,1,1,371,0
1002,1,1,372,0
42332,1,1,373,0
10002,1,1,374,0
20066,1,1,375,0
511,1,1,376,0
22566,1,1,377,0
44425,1,1,378,0
27841,1,1,379,0
28875,1,1,380,0
