scenario,shard_id,earliest_affected_slice
s1_random_1_percent,1,1
s1_random_1_percent,2,1
s1_random_1_percent,3,1
s1_random_1_percent,4,1
s1_random_1_percent,5,1
s2_random_5_percent,1,1
s2_random_5_percent,2,1
s2_random_5_percent,3,1
s2_random_5_percent,4,1
s2_random_5_percent,5,1
s3_simulated_data_provider_withdrawal,1,1
s3_simulated_data_provider_withdrawal,2,1
s3_simulated_data_provider_withdrawal,3,1
s3_simulated_data_provider_withdrawal,4,1
s3_simulated_data_provider_withdrawal,5,1
s4_random_10_percent,1,1
s4_random_10_percent,2,1
s4_random_10_percent,3,1
s4_random_10_percent,4,1
s4_random_10_percent,5,1
s5_retention_expiry,1,1
s5_retention_expiry,2,1
s5_retention_expiry,3,1
s5_retention_expiry,4,1
s5_retention_expiry,5,1
