scenario,shard_id,forget_count
s1_random_1_percent,1,84
s1_random_1_percent,2,60
s1_random_1_percent,3,62
s1_random_1_percent,4,61
s1_random_1_percent,5,75
s2_random_5_percent,1,361
s2_random_5_percent,2,350
s2_random_5_percent,3,332
s2_random_5_percent,4,346
s2_random_5_percent,5,320
s3_simulated_data_provider_withdrawal,1,357
s3_simulated_data_provider_withdrawal,2,345
s3_simulated_data_provider_withdrawal,3,340
s3_simulated_data_provider_withdrawal,4,330
s3_simulated_data_provider_withdrawal,5,326
s4_random_10_percent,1,652
s4_random_10_percent,2,643
s4_random_10_percent,3,691
s4_random_10_percent,4,723
s4_random_10_percent,5,710
s5_retention_expiry,1,1145
s5_retention_expiry,2,1118
s5_retention_expiry,3,1096
s5_retention_expiry,4,1124
s5_retention_expiry,5,1102
