shard_id,slice_id,slice_record_count,cumulative_record_count,epochs_completed,optimizer_steps,final_training_loss,final_validation_loss,runtime_seconds,starting_checkpoint,saved_checkpoint,seed
1,1,1368,1368,4,24,0.5918011633973372,0.5702645429945239,2.702949875034392,deterministic_initial_state,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_1.pt,43
1,2,1368,2736,4,24,0.4576233872893261,0.4234638358688797,0.5286962919635698,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_1.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_2.pt,43
1,3,1368,4104,4,24,0.35476853432711103,0.33892290017138144,0.3572829170152545,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_2.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_3.pt,43
1,4,1367,5471,4,24,0.3429425897917437,0.32279589412611365,0.42442366597242653,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_3.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_4.pt,43
1,5,1367,6838,4,24,0.32425340096620897,0.31637727394150866,0.3703457919182256,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_4.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_1/slice_5.pt,43
2,1,1368,1368,4,24,0.6451347445883946,0.616373212308855,0.3733744169585407,deterministic_initial_state,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_1.pt,44
2,2,1368,2736,4,24,0.47215172874997235,0.43700431005374807,0.3467546249739826,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_1.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_2.pt,44
2,3,1368,4104,4,24,0.3611934683476275,0.34969448290690025,0.37429291696753353,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_2.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_3.pt,44
2,4,1367,5471,4,24,0.34660753232768265,0.3280392115782624,0.4004687920678407,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_3.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_4.pt,44
2,5,1367,6838,4,24,0.30714389433281736,0.3236838680471581,0.3554819590644911,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_4.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_2/slice_5.pt,44
3,1,1368,1368,4,24,0.6222736173205905,0.6024374620301978,0.47579933295492083,deterministic_initial_state,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_1.pt,45
3,2,1368,2736,4,24,0.47249870934681587,0.46380611318497916,0.4013922499725595,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_1.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_2.pt,45
3,3,1368,4104,4,24,0.40423561554206044,0.3692364852886658,0.3815870840335265,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_2.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_3.pt,45
3,4,1367,5471,4,24,0.3387546199424998,0.33263841825464924,0.37487508298363537,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_3.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_4.pt,45
3,5,1367,6838,4,24,0.32977103685582737,0.32083649243808593,0.31101812492124736,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_4.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_3/slice_5.pt,45
4,1,1368,1368,4,24,0.6215615129610251,0.5985128629445183,0.27814312500413507,deterministic_initial_state,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_1.pt,46
4,2,1368,2736,4,24,0.45277593463485005,0.42913362451371617,0.3632546659791842,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_1.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_2.pt,46
4,3,1368,4104,4,24,0.36108375013920296,0.34682123574148327,0.39635104197077453,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_2.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_3.pt,46
4,4,1367,5471,4,24,0.33428957247350366,0.3270484845543246,0.3571587499463931,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_3.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_4.pt,46
4,5,1367,6838,4,24,0.3397911831725664,0.3221889396541079,0.3540413751034066,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_4.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_4/slice_5.pt,46
5,1,1368,1368,4,24,0.6002045744343808,0.5760992045061464,0.3904736250406131,deterministic_initial_state,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_1.pt,47
5,2,1368,2736,4,24,0.4607164568719808,0.42037065567587556,0.37390374997630715,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_1.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_2.pt,47
5,3,1367,4103,4,24,0.3540815599616985,0.3407989711000592,0.3676645839586854,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_2.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_3.pt,47
5,4,1367,5470,4,24,0.3046849238977174,0.3247196603888799,0.36082220799289644,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_3.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_4.pt,47
5,5,1367,6837,4,24,0.3142211377271877,0.3185538274406118,0.3650343749905005,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_4.pt,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/original_models/shard_5/slice_5.pt,47
