scenario,split,model_a,model_b,prediction_agreement,probability_mad,mean_loss_difference
s1_random_1_percent,test,original_sisa,full_retraining,0.9445885082571311,0.04829129816131728,0.01654261260878142
s1_random_1_percent,test,unlearned_sisa,full_retraining,0.9440425822301078,0.049168550976129405,0.017156997650526078
s1_random_1_percent,test,unlearned_sisa,original_sisa,0.99508666575679,0.005029494897059653,0.0006143850417446555
s1_random_1_percent,forget,original_sisa,full_retraining,0.9678362573099415,0.04146588867340464,0.0014242748399195607
s1_random_1_percent,forget,unlearned_sisa,full_retraining,0.9678362573099415,0.042175290319779,0.002403085939366023
s1_random_1_percent,forget,unlearned_sisa,original_sisa,0.9941520467836257,0.004633694237584182,0.0009788110994464624
s2_random_5_percent,test,original_sisa,full_retraining,0.9448614712706428,0.04822897603820598,0.015635148231941485
s2_random_5_percent,test,unlearned_sisa,full_retraining,0.9403575815477003,0.05361462489254606,0.01961348287062959
s2_random_5_percent,test,unlearned_sisa,original_sisa,0.9903098130203357,0.010807929733615163,0.003978334638688107
s2_random_5_percent,forget,original_sisa,full_retraining,0.943826799297835,0.04860597334497618,0.019881574725546747
s2_random_5_percent,forget,unlearned_sisa,full_retraining,0.9344645991808075,0.05385606302759207,0.024884353324630022
s2_random_5_percent,forget,unlearned_sisa,original_sisa,0.9882972498537156,0.01061162542140113,0.005002778599083277
s3_simulated_data_provider_withdrawal,test,original_sisa,full_retraining,0.9449979527773986,0.04681676556320377,0.016794382435873428
s3_simulated_data_provider_withdrawal,test,unlearned_sisa,full_retraining,0.9414494336017469,0.051024875572942156,0.019762809207451534
s3_simulated_data_provider_withdrawal,test,unlearned_sisa,original_sisa,0.9931759246622083,0.00813497187828657,0.002968426771578105
s3_simulated_data_provider_withdrawal,forget,original_sisa,full_retraining,0.947585394581861,0.045758335539498214,0.010200613818972377
s3_simulated_data_provider_withdrawal,forget,unlearned_sisa,full_retraining,0.9458186101295641,0.05024401317470635,0.013774870983990096
s3_simulated_data_provider_withdrawal,forget,unlearned_sisa,original_sisa,0.9982332155477032,0.0083159004571002,0.003574257165017719
s4_random_10_percent,test,original_sisa,full_retraining,0.9449979527773986,0.04881592489227991,0.01586840065615336
s4_random_10_percent,test,unlearned_sisa,full_retraining,0.9404940630544562,0.05553807114838574,0.02056112513394448
s4_random_10_percent,test,unlearned_sisa,original_sisa,0.9905827760338474,0.011548075330533389,0.004692724477791119
s4_random_10_percent,forget,original_sisa,full_retraining,0.948815443112021,0.04641060240024436,0.014287479526175097
s4_random_10_percent,forget,unlearned_sisa,full_retraining,0.9412108803743785,0.053342401483312867,0.020466652077148942
s4_random_10_percent,forget,unlearned_sisa,original_sisa,0.988300672711319,0.011198135080165946,0.006179172550973849
s5_retention_expiry,test,original_sisa,full_retraining,0.945543878804422,0.04870881402066882,0.014338411043931144
s5_retention_expiry,test,unlearned_sisa,full_retraining,0.938992766480142,0.05515253482965008,0.02067457565962636
s5_retention_expiry,test,unlearned_sisa,original_sisa,0.9841681452163232,0.012440595366458583,0.006336164615695218
s5_retention_expiry,forget,original_sisa,full_retraining,0.9221128021486124,0.06733569134936224,0.01064604071211096
s5_retention_expiry,forget,unlearned_sisa,full_retraining,0.9072515666965085,0.07781204632660518,0.025756031293126737
s5_retention_expiry,forget,unlearned_sisa,original_sisa,0.9679498657117278,0.02356585542024063,0.015109990581015779
