scenario,shard_id,shard_status,forget_records_in_shard,earliest_affected_slice,starting_checkpoint,slices_retrained,retained_records_reprocessed,deletion_optimizer_steps,deletion_runtime_seconds,final_checkpoint,original_checkpoint_reused
s1_random_1_percent,1,affected,84,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6754,120,2.284899332909845,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s1_random_1_percent/shard_1_final.pt,False
s1_random_1_percent,2,affected,60,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6778,120,1.6405038749799132,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s1_random_1_percent/shard_2_final.pt,False
s1_random_1_percent,3,affected,62,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6776,120,1.896284293034114,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s1_random_1_percent/shard_3_final.pt,False
s1_random_1_percent,4,affected,61,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6777,120,1.6321143740788102,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s1_random_1_percent/shard_4_final.pt,False
s1_random_1_percent,5,affected,75,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6762,120,1.3823675829917192,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s1_random_1_percent/shard_5_final.pt,False
s2_random_5_percent,1,affected,361,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6477,120,1.3486762921093032,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s2_random_5_percent/shard_1_final.pt,False
s2_random_5_percent,2,affected,350,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6488,120,1.578263500938192,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s2_random_5_percent/shard_2_final.pt,False
s2_random_5_percent,3,affected,332,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6506,120,1.4273086671018973,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s2_random_5_percent/shard_3_final.pt,False
s2_random_5_percent,4,affected,346,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6492,116,1.3481597510399297,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s2_random_5_percent/shard_4_final.pt,False
s2_random_5_percent,5,affected,320,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6517,120,1.3799634990282357,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s2_random_5_percent/shard_5_final.pt,False
s3_simulated_data_provider_withdrawal,1,affected,357,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6481,120,1.4852168321376666,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s3_simulated_data_provider_withdrawal/shard_1_final.pt,False
s3_simulated_data_provider_withdrawal,2,affected,345,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6493,120,1.6100379589479417,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s3_simulated_data_provider_withdrawal/shard_2_final.pt,False
s3_simulated_data_provider_withdrawal,3,affected,340,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6498,120,1.4993506236933172,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s3_simulated_data_provider_withdrawal/shard_3_final.pt,False
s3_simulated_data_provider_withdrawal,4,affected,330,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6508,120,1.4601502920268103,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s3_simulated_data_provider_withdrawal/shard_4_final.pt,False
s3_simulated_data_provider_withdrawal,5,affected,326,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6511,120,1.432224876130931,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s3_simulated_data_provider_withdrawal/shard_5_final.pt,False
s4_random_10_percent,1,affected,652,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6186,100,1.5832578738918528,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s4_random_10_percent/shard_1_final.pt,False
s4_random_10_percent,2,affected,643,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6195,100,1.6372080399887636,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s4_random_10_percent/shard_2_final.pt,False
s4_random_10_percent,3,affected,691,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6147,100,1.3368362090550363,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s4_random_10_percent/shard_3_final.pt,False
s4_random_10_percent,4,affected,723,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6115,100,1.6450904990779236,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s4_random_10_percent/shard_4_final.pt,False
s4_random_10_percent,5,affected,710,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",6127,100,1.3433882088866085,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s4_random_10_percent/shard_5_final.pt,False
s5_retention_expiry,1,affected,1145,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",5693,100,1.6614048759220168,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s5_retention_expiry/shard_1_final.pt,False
s5_retention_expiry,2,affected,1118,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",5720,100,1.6934848328819498,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s5_retention_expiry/shard_2_final.pt,False
s5_retention_expiry,3,affected,1096,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",5742,100,1.6795411658240482,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s5_retention_expiry/shard_3_final.pt,False
s5_retention_expiry,4,affected,1124,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",5714,100,1.5198090431513265,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s5_retention_expiry/shard_4_final.pt,False
s5_retention_expiry,5,affected,1102,1,deterministic_initial_state,"[1, 2, 3, 4, 5]",5735,100,1.54355387610849,/Users/niamhhughes/Desktop/Desktop - Niamh’s MacBook Pro/QUB/Research Proj/code/results/sisa/adult/unlearned_models/s5_retention_expiry/shard_5_final.pt,False
