shard_id,slice_id,slice_record_count,class_0_count,class_1_count,cumulative_record_count,class_1_proportion
1,1,1368,1039,329,1368,0.24049707602339182
1,2,1368,1025,343,2736,0.2507309941520468
1,3,1368,1039,329,4104,0.24049707602339182
1,4,1367,1053,314,5471,0.22970007315288954
1,5,1367,1046,321,6838,0.23482077542062912
2,1,1368,1035,333,1368,0.24342105263157895
2,2,1368,1019,349,2736,0.25511695906432746
2,3,1368,1053,315,4104,0.23026315789473684
2,4,1367,1038,329,5471,0.24067300658376006
2,5,1367,1057,310,6838,0.22677395757132407
3,1,1368,1039,329,1368,0.24049707602339182
3,2,1368,1066,302,2736,0.22076023391812866
3,3,1368,1045,323,4104,0.2361111111111111
3,4,1367,1031,336,5471,0.24579370885149962
3,5,1367,1021,346,6838,0.2531089978054133
4,1,1368,1040,328,1368,0.23976608187134502
4,2,1368,1037,331,2736,0.24195906432748537
4,3,1368,1052,316,4104,0.2309941520467836
4,4,1367,1054,313,5471,0.22896854425749816
4,5,1367,1018,349,6838,0.2553035844915874
5,1,1368,1044,324,1368,0.23684210526315788
5,2,1368,1022,346,2736,0.25292397660818716
5,3,1367,1049,318,4103,0.232626188734455
5,4,1367,1034,333,5470,0.24359912216532553
5,5,1367,1052,315,6837,0.23043160204828092
